robNum  5
path_x0  8.5 8.5 8.5 8.5 8.5 7.5 7.5 7.5 7.5 7.5 7.5 9.5 9.5 9.5 9.5 9.5 8.5 8.5 8.5 9.5 9.5 9.5 8.5 7.5 6.5 5.5 4.5 3.5 2.5 1.5 0.5 0.5 0.5 0.5 1.5 1.5 1.5 2.5 3.5 4.5 4.5 4.5 4.5 3.5 2.5 1.5 1.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.5 1.5 1.5 1.5 1.5 1.5
path_y0  3.5 4.5 5.5 6.5 7.5 7.5 8.5 9.5 10.5 11.5 12.5 12.5 12.5 13.5 14.5 15.5 15.5 16.5 17.5 17.5 18.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 18.5 17.5 16.5 16.5 17.5 18.5 18.5 18.5 18.5 17.5 16.5 15.5 15.5 15.5 15.5 14.5 14.5 13.5 12.5 11.5 10.5 9.5 8.5 7.5 5.5 5.5 4.5 3.5 2.5 1.5 0.5 0.5 1.5 2.5 3.5 4.5 5.5
path_x1  7.5 7.5 8.5 8.5 8.5 8.5 8.5 8.5 9.5 10.5 10.5 10.5 10.5 11.5 11.5 12.5 13.5 13.5 13.5 14.5 14.5 14.5 13.5 12.5 12.5 12.5 11.5 11.5 11.5 10.5 10.5 9.5 9.5 9.5 10.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 10.5 10.5 9.5
path_y1  15.5 14.5 14.5 13.5 12.5 11.5 10.5 9.5 9.5 9.5 8.5 7.5 6.5 6.5 7.5 7.5 7.5 6.5 5.5 5.5 4.5 3.5 3.5 3.5 4.5 5.5 3.5 3.5 3.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 5.5 6.5 7.5 10.5 10.5 10.5 10.5 11.5 11.5
path_x2  16.5 17.5 17.5 18.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 18.5 18.5 18.5 18.5 18.5 18.5 18.5 17.5 17.5 16.5 16.5 14.5 14.5 14.5 14.5 14.5 15.5 13.5 13.5 12.5 12.5 12.5 13.5 14.5 14.5 14.5 14.5 14.5 15.5 16.5 16.5 16.5 17.5 18.5 18.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 18.5 18.5 18.5 18.5 18.5 15.5 15.5 15.5 15.5 15.5 16.5 17.5 17.5 17.5 16.5 15.5 15.5 14.5 14.5 13.5 13.5 13.5 13.5 13.5 14.5 14.5 12.5 12.5 12.5 12.5 11.5 11.5 10.5 10.5 10.5 11.5 11.5 11.5 12.5 10.5 10.5 10.5 10.5 10.5 10.5 11.5 11.5 12.5 12.5
path_y2  10.5 10.5 9.5 9.5 9.5 8.5 7.5 6.5 5.5 4.5 3.5 2.5 1.5 0.5 1.5 1.5 2.5 3.5 5.5 5.5 6.5 6.5 7.5 7.5 6.5 6.5 6.5 8.5 8.5 9.5 9.5 9.5 9.5 9.5 10.5 11.5 11.5 11.5 10.5 12.5 12.5 13.5 13.5 13.5 12.5 11.5 11.5 11.5 10.5 10.5 11.5 13.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 19.5 18.5 17.5 16.5 15.5 15.5 15.5 15.5 16.5 17.5 17.5 17.5 18.5 19.5 19.5 19.5 18.5 18.5 19.5 19.5 18.5 17.5 16.5 15.5 15.5 16.5 16.5 16.5 15.5 14.5 14.5 13.5 14.5 14.5 15.5 15.5 16.5 17.5 17.5 17.5 17.5 16.5 19.5 19.5 19.5 19.5 18.5 19.5 19.5
path_x3  2.5 2.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 9.5 10.5 11.5 11.5 12.5 12.5 12.5 13.5 14.5 15.5 15.5 15.5 15.5 16.5 17.5 15.5 15.5 15.5 15.5 15.5 16.5 13.5 13.5 13.5 12.5 11.5 11.5 11.5 11.5 11.5 12.5 12.5 13.5 13.5 14.5 15.5 16.5 17.5 18.5 18.5 18.5 19.5 17.5 17.5 15.5 15.5 15.5
path_y3  2.5 1.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.5 1.5 1.5 0.5 1.5 1.5 2.5 2.5 2.5 2.5 4.5 4.5 5.5 5.5 5.5 6.5 6.5 6.5 7.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 9.5 10.5 11.5 12.5 12.5 13.5 13.5 14.5 14.5 14.5 14.5 14.5 14.5 13.5 12.5 12.5 12.5 12.5 11.5 11.5 11.5
path_x4  2.5 2.5 3.5 3.5 3.5 2.5 1.5 1.5 1.5 1.5 1.5 2.5 2.5 2.5 3.5 3.5 3.5 3.5 3.5 5.5 5.5 6.5 7.5 8.5 8.5 7.5 7.5 7.5 7.5 7.5 6.5 5.5 5.5 5.5 5.5 4.5 4.5 4.5 4.5 4.5 4.5 3.5 3.5 3.5 4.5 5.5 6.5 6.5 6.5 5.5 5.5 4.5 4.5 4.5 4.5 5.5 5.5 4.5 4.5 4.5 4.5 5.5 6.5 6.5 6.5 6.5 6.5 7.5 5.5 5.5 5.5 5.5 5.5 6.5 6.5 7.5
path_y4  14.5 13.5 13.5 12.5 11.5 11.5 11.5 10.5 9.5 8.5 7.5 7.5 6.5 5.5 5.5 4.5 3.5 2.5 1.5 1.5 1.5 1.5 1.5 1.5 2.5 2.5 3.5 4.5 5.5 6.5 6.5 6.5 5.5 4.5 3.5 2.5 2.5 4.5 4.5 5.5 6.5 6.5 7.5 8.5 8.5 8.5 8.5 9.5 10.5 10.5 9.5 10.5 10.5 12.5 12.5 12.5 11.5 13.5 13.5 13.5 14.5 14.5 14.5 13.5 15.5 15.5 16.5 16.5 16.5 16.5 15.5 17.5 17.5 18.5 18.5 18.5
